"YEAR","MONTH","SUPPLIER","ITEM CODE","ITEM DESCRIPTION","ITEM TYPE","RETAIL SALES","RETAIL TRANSFERS","WAREHOUSE SALES"
"2019","9","AMERICAN FIDELITY TRADING","44736","ARAK GANTOUS & ABOURAAD - 750ML","LIQUOR","0.00","0.00","1.00"
"2019","9","AMERICAN FIDELITY TRADING","324680","KSARA CUV DU PRINTEMPS - 750ML","WINE","0.00","1.00","1.00"
"2019","9","AMERICAN FIDELITY TRADING","388963","KSARA SUNSET ROSE - 750ML","WINE","0.08","0.00","1.00"
"2019","9","AMERICAN FIDELITY TRADING","324663","DOM WARDY SYR - 750ML","WINE","0.00","0.00","1.00"
"2019","9","AMERICAN FIDELITY TRADING","324655","CLOS ST THOMAS CHARD - 750ML","WINE","0.00","0.00","1.00"
"2019","9","AMERICAN FIDELITY TRADING","163740","KSARA BDB - 750ML","WINE","0.00","0.00","1.00"
"2019","9","AMERICAN FIDELITY TRADING","45898","ARAK LE BRUN - 750ML","LIQUOR","3.48","5.00","0.00"
"2019","9","AMERICAN FIDELITY TRADING","101117","KSARA CAB - 750ML","WINE","0.32","0.00","0.00"
"2019","9","AMERICAN FIDELITY TRADING","163589","KSARA RES DU COUVENT RED - 750ML","WINE","0.00","0.00","4.00"
"2019","9","ANHEUSER BUSCH INC","23075","LANDSHARK LAGER 4/6 NR - 12OZ","BEER","46.07","49.00","121.00"
"2019","9","ANHEUSER BUSCH INC","51020","GOOSE ISLAND NEXT COAST IPA 1/2 KEG","KEGS","0.00","0.00","4.00"
"2019","9","ANHEUSER BUSCH INC","51021","DEVILS BACKBONE GOLD LEAF LAGER 1/2 KEG","KEGS","0.00","0.00","1.00"
"2019","9","ANHEUSER BUSCH INC","51031","VIRTUE MICHIGAN APPLE CIDER 4/6PK 12OZ CAN","BEER","0.00","0.00","23.50"
"2019","9","ANHEUSER BUSCH INC","51032","GOOSE ISLAND NEXT COAST IPA 4/6PK 12OZ CAN","BEER","0.00","0.00","27.75"
"2019","9","ANHEUSER BUSCH INC","23024","LANDSHARK LAGER 2/12 NR - 12OZ","BEER","3.54","3.00","79.00"
"2019","9","ANHEUSER BUSCH INC","22996","KONA LONGBOARD 1/2K","KEGS","0.00","0.00","6.00"
"2019","9","ANHEUSER BUSCH INC","51060","RITAS CHERRY-LIMEADE-RITA 15/25OZ CAN","BEER","0.61","0.00","87.93"
"2019","9","ANHEUSER BUSCH INC","22946","BUD LIGHT LIME 2/12 NR - 12OZ","BEER","20.08","19.00","276.50"
"2019","9","ANHEUSER BUSCH INC","22935","BUD LIGHT LIME 4/6 NR - 12OZ","BEER","0.00","0.00","242.50"
"2019","9","ANHEUSER BUSCH INC","51077","RITAS SPRITZ VARIETY 2/12PK 12OZ CAN","BEER","13.61","13.00","28.00"
"2019","9","ANHEUSER BUSCH INC","97055","KIRIN ICHIBAN 1/2K","KEGS","0.00","0.00","16.00"
"2019","9","ANHEUSER BUSCH INC","51079","BUDWEISER DISCOVERY LAGER 4/6 NR","BEER","1.00","0.00","0.00"
"2019","9","ANHEUSER BUSCH INC","51081","ELYSIAN SALUTE THE SUN 4/6 NR","BEER","2.25","0.00","0.00"
"2019","9","ANHEUSER BUSCH INC","51084","BUD LIGHT LEMON TEA 4/6 NR","BEER","0.75","2.00","14.00"
"2019","9","ANHEUSER BUSCH INC","51085","BUD LIGHT LEMON TEA 2/12 NR","BEER","1.50","0.00","7.00"
"2019","9","ANHEUSER BUSCH INC","96997","KIRIN ICHIBAN 4/6 NR - 12OZ","BEER","24.41","26.00","132.00"
"2019","9","ANHEUSER BUSCH INC","51086","BUD LIGHT LEMON TEA 2/12 CAN","BEER","0.00","0.00","8.00"
"2019","9","ANHEUSER BUSCH INC","51087","NATURAL LIGHT NATURDAYS 18PK CAN","BEER","13.00","10.00","264.00"
"2019","9","ANHEUSER BUSCH INC","51088","GOLDEN ROAD AGUA FRESCAS VARIETY 2/12 CAN","BEER","9.62","12.00","12.00"
"2019","10","ADAMBA IMPORTS INTL","42921","BAKS ZUBROWKA BISON VODKA - 750ML","LIQUOR","4.58","2.00","0.00"
"2019","10","ALLAGASH BREWING COMPANY","60023","ALLAGASH TRIPEL 1/2 KEG","KEGS","0.00","0.00","1.00"
"2019","10","ALLAGASH BREWING COMPANY","62903","ALLAGASH BON PICTAVIA 1/6 KEG","KEGS","0.00","0.00","3.00"
"2019","10","ALLAGASH BREWING COMPANY","97039","ALLAGASH TRIPLE NR - 25.4OZ","BEER","0.00","0.00","4.00"
"2019","10","ALLAGASH BREWING COMPANY","62028","ALLAGASH FARM TO FACE 375ML","BEER","0.00","0.00","6.00"
"2019","10","ALLAGASH BREWING COMPANY","10271","ALLAGASH SAISON 6/4 NR 12.0Z","BEER","0.34","0.00","8.00"
"2019","10","ALLAGASH BREWING COMPANY","2194","ALLAGASH WHITE 1/2K","KEGS","0.00","0.00","42.00"
"2019","10","ALLAGASH BREWING COMPANY","25092","ALLAGASH BLACK 6/4 NR - 12OZ","BEER","0.68","0.00","11.00"
"2019","10","ALLAGASH BREWING COMPANY","90751","ALLAGASH WHITE 6/4 NR - 12OZ","BEER","23.78","23.00","109.96"
"2019","10","ALLAGASH BREWING COMPANY","68382","ALLAGASH TRUE PENNY PILSNER 1/6 KEG","KEGS","0.00","0.00","1.00"
"2019","10","ALLAGASH BREWING COMPANY","61038","ALLAGASH TWO LIGHTS 6/4 NR","BEER","0.00","0.00","1.00"
"2019","10","ALLAGASH BREWING COMPANY","60877","ALLAGASH CURIEUX 6/4 NR","BEER","0.00","0.00","5.00"
"2019","10","ALLAGASH BREWING COMPANY","30804","ALLAGASH CURIEUX 12/750ML NR","BEER","0.00","0.00","4.00"
"2019","10","ALLAGASH BREWING COMPANY","68383","ALLAGASH TRUEPENNY PILSNER 6/4 NR","BEER","0.17","1.00","14.00"
"2019","10","ALLAGASH BREWING COMPANY","68384","ALLAGASH HAUNTED HOUSE 1/6 KEG","KEGS","0.00","0.00","2.00"
"2019","10","ALLAGASH BREWING COMPANY","63535","ALLAGASH BARREL & BEAN 6/4 NR","BEER","0.00","0.00","3.00"
"2019","10","ALLAGASH BREWING COMPANY","63765","ALLAGASH COPAIN 1/6 KEG","KEGS","0.00","0.00","2.00"
"2019","10","ALLAGASH BREWING COMPANY","25826","ALLAGASH WHITE 1/6K","KEGS","0.00","0.00","5.00"
"2019","10","ALLAGASH BREWING COMPANY","93324","ALLAGASH TRIPLE 6/4 NR - 12OZ","BEER","1.19","1.00","14.00"
"2019","10","ALLIED IMPORTERS USA LTD","73675","AMERICAN BARRELS BOURBON  NV - 750ML","LIQUOR","0.51","0.00","0.00"
"2019","10","AMERICAN BEVERAGE CORPORATION","82329","DAILYS MAUI WOWIE - 10.OZ","WINE","0.61","0.00","0.00"
"2019","10","AMERICAN BEVERAGE CORPORATION","166412","DAILY'S COCKTAIL STRAWBERRY DAIQUIRI - 10 OZ","WINE","0.00","0.00","5.00"
"2019","10","AMERICAN BEVERAGE CORPORATION","80050","DAILYS PEACH ON THE BEACH POUCH - 10OZ","WINE","0.54","0.00","0.00"
"2019","10","AMERICAN BEVERAGE CORPORATION","71799","DAILYS COCKTAIL SWEET & SOUR - NA - 1L","NON-ALCOHOL","0.64","1.00","1.00"
"2019","10","AMERICAN BEVERAGE CORPORATION","83228","DAILYS ISLAND BREEZE - 10OZ","WINE","3.71","0.00","0.00"
"2019","10","AMERICAN BEVERAGE CORPORATION","71810","DAILYS COCKTAIL STRAW/DAIQUIRE - NA - 1L","NON-ALCOHOL","0.41","0.00","0.00"
"2019","10","AMERICAN BEVERAGE CORPORATION","166386","DAILY'S COCKTAIL FROSE -10 OZ","WINE","0.61","0.00","0.00"
"2019","10","AMERICAN BEVERAGE CORPORATION","166387","DAILY'S COCKTAIL MARGARITA - 10 OZ","WINE","0.29","0.00","0.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70647","FINEST CALL STRAWBERRY PUREE - 1L","NON-ALCOHOL","8.59","7.00","3.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70709","MASTER OF MIXES BLOODY MARY - 1.75L","NON-ALCOHOL","9.48","11.00","0.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70198","MASTER OF MIXES MARGARITA LITE - 1.75L","NON-ALCOHOL","6.42","10.00","1.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","329606","FINEST CALL BLOODY MARY HABANE - 1L","NON-ALCOHOL","0.08","0.00","0.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70727","MASTER OF MIXES MOJITO - 1L","NON-ALCOHOL","(0.08)","0.00","0.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70717","MASTER OF MIXES PINA COLADA - 1.75L","NON-ALCOHOL","7.95","9.00","0.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","87994","FINEST CALL MANGO PUREE - 1L","NON-ALCOHOL","8.91","5.00","2.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","166661","MASTER OF MIXES COCKTAIL ESSENTIALS SIMPLE SYRUP-NA","NON-ALCOHOL","18.53","13.00","0.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70069","FINEST CALL MARGARITA - 1L","NON-ALCOHOL","19.70","21.00","8.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70665","MASTER OF MIXES COCKTAIL ESS GRENADINE - 375ML","NON-ALCOHOL","28.44","28.00","6.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70701","MASTER OF MIXES MARGARITA - 1.75L","NON-ALCOHOL","18.09","23.00","4.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","166662","AGALIMA SWEET & SOUR MIX - 1L","NON-ALCOHOL","7.44","10.00","0.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70901","FINEST CALL BLOODY MARY - 1L","NON-ALCOHOL","6.44","6.00","1.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70756","FINEST CALL SWEET & SOUR - 1L","NON-ALCOHOL","22.40","23.00","7.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70674","MASTER OF MIXES BB MARG - 3L","NON-ALCOHOL","0.17","0.00","0.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70691","MASTER OF MIXES STR/DAQ/MAR - 1.75L","NON-ALCOHOL","5.91","8.00","2.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70736","MASTER OF MIXES COSMO - 1L","NON-ALCOHOL","0.16","0.00","0.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70924","MASTER OF MIXES COCKTAIL ESS LIME JUICE - 375ML","NON-ALCOHOL","39.31","42.00","2.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","74134","MASTER OF MIXES SWEET/SOUR - 1.75L","NON-ALCOHOL","19.59","18.00","1.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","70047","FINEST CALL PINA COLADA - 1L","NON-ALCOHOL","7.18","6.00","4.00"
"2019","10","AMERICAN BEVERAGE MARKETERS","166663","AGALIMA MARGARITA MIX - 1L","NON-ALCOHOL","18.43","18.00","0.00"
"2019","10","AMERICAN FIDELITY TRADING","45898","ARAK LE BRUN - 750ML","LIQUOR","3.28","8.00","0.00"
"2019","10","AMERICAN FIDELITY TRADING","163740","KSARA BDB - 750ML","WINE","0.00","0.00","1.00"
"2019","10","AMERICAN FIDELITY TRADING","388963","KSARA SUNSET ROSE - 750ML","WINE","0.32","0.00","1.00"
"2019","10","AMERICAN FIDELITY TRADING","163589","KSARA RES DU COUVENT RED - 750ML","WINE","0.00","0.00","6.00"
"2019","10","AMERICAN FIDELITY TRADING","101117","KSARA CAB - 750ML","WINE","0.33","1.00","0.00"
"2019","10","AMERICAN FIDELITY TRADING","331528","CLOS ST THOMAS P/NOIR - 750ML","WINE","0.00","0.00","1.00"
"2019","10","AMERICAN FIDELITY TRADING","324680","KSARA CUV DU PRINTEMPS - 750ML","WINE","0.08","0.00","0.00"
"2019","10","ANHEUSER BUSCH INC","25983","OMISSION PALE ALE 4/6 NR - 12OZ","BEER","12.00","10.00","52.00"
"2019","10","ANHEUSER BUSCH INC","26293","BUD CHELADA CANS 15/CS - 25OZ","BEER","0.00","0.00","179.80"
"2019","10","ANHEUSER BUSCH INC","26283","BUD LIGHT CHELADA CANS 15/CS - 25OZ","BEER","0.00","0.00","326.80"
"2019","10","ANHEUSER BUSCH INC","26272","BUD LIGHT 15/25OZ CANS","BEER","0.00","0.00","696.73"
"2019","10","ANHEUSER BUSCH INC","26262","DEVILS BACKBONE VIENNA LAGER 4/6NR - 12OZ","BEER","56.00","51.00","133.00"
"2019","10","ANHEUSER BUSCH INC","26260","RITAS-LIME-A-RITA 15/25OZ CAN","BEER","6.94","5.00","306.93"
"2019","10","ANHEUSER BUSCH INC","26252","DEVILS BACKBONE EIGHT POINT IPA 4/6NR - 12OZ","BEER","4.75","5.00","70.75"
"2019","10","ANHEUSER BUSCH INC","26249","RITAS STRAW-BER-RITA 15/25OZ CAN","BEER","8.97","7.00","312.00"
"2019","10","ANHEUSER BUSCH INC","26242","DEVILS BACKBONE VIENNA LAGER 1/2K","KEGS","0.00","0.00","24.00"
"2019","10","ANHEUSER BUSCH INC","26241","SHOCK TOP BELGIUM WHITE 6/4 CANS - 16OZ","BEER","0.00","0.00","54.00"
"2019","10","ANHEUSER BUSCH INC","26227","KIRIN 15/25OZ CANS - 25OZ","BEER","0.00","0.00","49.00"
"2019","10","ANHEUSER BUSCH INC","26216","BUD ICE 15/25OZ CANS","BEER","0.00","0.00","334.80"
"2019","10","ANHEUSER BUSCH INC","26207","DEVILS BACKBONE O'FEST 4/6NR - 12OZ","BEER","1.75","0.00","0.00"
"2019","10","ANHEUSER BUSCH INC","26205","NATURAL ICE CANS 15/CS - 25OZ","BEER","0.00","0.00","461.73"
"2019","10","ANHEUSER BUSCH INC","26194","BUD LIGHT LIME 15/25OZ CAN","BEER","0.00","0.00","99.00"
"2019","10","ANHEUSER BUSCH INC","26187","STELLA ARTOIS LOOSE NR - 11.2OZ","BEER","500.00","475.00","1,245.00"
"2019","10","ANHEUSER BUSCH INC","26181","OMISSION IPA 4/6NR - 12OZ","BEER","15.54","10.00","72.00"
"2019","10","ANHEUSER BUSCH INC","26165","KONA BIG WAVE GOLDEN BLONDE 1/6K","KEGS","0.00","0.00","11.00"
"2019","10","ANHEUSER BUSCH INC","26155","BUD LIGHT 18PK 16OZ CAN","BEER","39.00","32.00","488.89"
"2019","11","ADAMBA IMPORTS INTL","42921","BAKS ZUBROWKA BISON VODKA - 750ML","LIQUOR","4.70","3.00","0.00"
